大分類,中分類
農業、林業,農業
農業、林業,林業
漁業,漁業
漁業,水産養殖
金属鉱業、採石、砂利採取,金属鉱業、採石、砂利採取
建設,総合建設
建設,専門工事
建設,プラント、設備工事
建設,建設関連サービス
製造,食品加工製造
製造,飲料、たばこ、飼料製造
製造,繊維工業
製造,木材、木製品製造
製造,家具、装備品製造
製造,パルプ、紙、紙加工品製造
製造,印刷、印刷関連製造
製造,化学工業
製造,石油製品、石炭製品製造
製造,プラスチック製品製造
製造,ゴム製品製造
製造,革製品、革製品関連製造
製造,窯業、土石製品製造
製造,鉄鋼
製造,非鉄金属製造
製造,金属製品製造
製造,一般機械製造
製造,医療機械製造
製造,業務用機械製造
製造,電気機械製造
製造,自動車、自動車部品製造
製造,輸送用機械製造
製造,その他の製造
エネルギー開発,石油、石炭開発
エネルギー開発,電力、ガス開発
エネルギー開発,再生可能エネルギー開発
電気・ガス・熱供給、水道,電気供給
電気・ガス・熱供給、水道,ガス供給
電気・ガス・熱供給、水道,熱供給
電気・ガス・熱供給、水道,水道
情報通信、メディア、広告,通信
情報通信、メディア、広告,放送
情報通信、メディア、広告,新聞、出版
情報通信、メディア、広告,システム開発
情報通信、メディア、広告,ソフトウェア、情報処理サービス、調査
情報通信、メディア、広告,ITインフラサービス
情報通信、メディア、広告,インターネットメディア
情報通信、メディア、広告,コンテンツ制作・配信
情報通信、メディア、広告,広告、販促
運輸、郵便,鉄道
運輸、郵便,道路輸送
運輸、郵便,水運
運輸、郵便,航空輸送
運輸、郵便,倉庫
運輸、郵便,輸送関連サービス
運輸、郵便,郵便
卸売、小売,総合卸売
卸売、小売,素材専門卸
卸売、小売,飲食料品卸売
卸売、小売,建築材料、鉱物、金属材料等卸売
卸売、小売,家電、家具、OA、機械卸売
卸売、小売,自動車関連卸売
卸売、小売,生活関連品卸売
卸売、小売,その他の卸売
卸売、小売,総合小売
卸売、小売,飲食料品小売
卸売、小売,家電、家具、OA、機械小売
卸売、小売,自動車関連小売
卸売、小売,生活関連品小売
卸売、小売,EC、通信販売
卸売、小売,その他の小売
金融、保険,銀行、ノンバンク
金融、保険,クレジットカード、信用金庫、信用組合
金融、保険,証券、商品先物取引
金融、保険,保険
金融、保険,資産運用
金融、保険,金融関連サービス
不動産,不動産仲介
不動産,不動産開発
不動産,不動産関連サービス
学術研究、教育、学習支援,学校教育
学術研究、教育、学習支援,学術・開発研究機関
学術研究、教育、学習支援,その他の教育、学習支援
医療、福祉,病院、保険衛生
医療、福祉,社会保険、社会福祉、介護サービス
医療、福祉,バイオ、医薬品製造
宿泊、飲食サービス,宿泊
宿泊、飲食サービス,飲食店
宿泊、飲食サービス,中食、飲食関連サービス
生活関連サービス、娯楽、旅行,洗濯、理容、美容、浴場
生活関連サービス、娯楽、旅行,娯楽
生活関連サービス、娯楽、旅行,旅行
生活関連サービス、娯楽、旅行,その他の生活関連サービス
コンサルタント、専門・技術サービス,コンサルタント
コンサルタント、専門・技術サービス,会計、税務、法務、労務事務所
コンサルタント、専門・技術サービス,技術サービス
コンサルタント、専門・技術サービス,その他専門サービス
サービス,廃棄物処理
サービス,自動車整備
サービス,機械等修理
サービス,人材サービス
サービス,警備
サービス,業務請負、アウトソーシング
サービス,物品賃貸
サービス,郵便局
サービス,協同組合
サービス,その他の事業サービス
サービス,その他のサービス
公務,国家公務
公務,地方公務
その他団体,政治、経済、文化団体
その他団体,宗教
その他団体,外国公務
分類不能の産業,分類不能の産業